name,approx_roster_start,approx_roster_end,source,source_url,image_url,local_path
Andrei Arlovski,2000-11-17,2024-06-29,Wikipedia,https://en.wikipedia.org/wiki/Andrei_Arlovski,https://upload.wikimedia.org/wikipedia/commons/5/5c/Andrei_Arlovski_2018.jpg,downloaded_photos/old_fighters/andrei-arlovski.jpg
Antonio Rodrigo Nogueira,2007-07-07,2015-08-01,Wikipedia,https://en.wikipedia.org/wiki/Ant%C3%B4nio_Rodrigo_Nogueira,https://upload.wikimedia.org/wikipedia/commons/0/0a/Antonio_Rodrigo_Nogueira_%22Minotauro%22_Paris_-_2004.JPG,downloaded_photos/old_fighters/antonio-rodrigo-nogueira.jpg
Shane Carwin,2008-05-24,2011-06-11,Wikipedia,https://en.wikipedia.org/wiki/Shane_Carwin,https://upload.wikimedia.org/wikipedia/commons/9/97/Shane_Carwin.JPG,downloaded_photos/old_fighters/shane-carwin.jpg
Kevin Randleman,1999-03-05,2002-01-11,Wikipedia,https://en.wikipedia.org/wiki/Kevin_Randleman,https://upload.wikimedia.org/wikipedia/commons/8/8c/Kevin_Randleman.jpg,downloaded_photos/old_fighters/kevin-randleman.jpg
Mark Hunt,2010-09-25,2018-12-01,Wikipedia,https://en.wikipedia.org/wiki/Mark_Hunt,https://upload.wikimedia.org/wikipedia/commons/d/d2/Mark_Hunt_on_22_November_2007.jpg,downloaded_photos/old_fighters/mark-hunt.jpg
Roy Nelson,2009-12-05,2017-04-15,Sherdog,https://www.sherdog.com/fighter/Roy-Nelson-10249,https://www.sherdog.com/image_crop/200/300/_images/fighter/20140729080337_1MG_4006.JPG,downloaded_photos/old_fighters/roy-nelson.jpg
Alistair Overeem,2011-12-30,2021-02-06,Wikipedia,https://en.wikipedia.org/wiki/Alistair_Overeem,https://upload.wikimedia.org/wikipedia/commons/6/63/Alistair_Overeem.png,downloaded_photos/old_fighters/alistair-overeem.jpg
Ben Rothwell,2009-10-24,2021-11-13,Wikipedia,https://en.wikipedia.org/wiki/Ben_Rothwell,https://upload.wikimedia.org/wikipedia/commons/d/d6/Ben_Rothwell_BKFC.jpg,downloaded_photos/old_fighters/ben-rothwell.jpg
Quinton Jackson,2007-02-03,2015-04-25,Wikipedia,https://en.wikipedia.org/wiki/Rampage_Jackson,https://upload.wikimedia.org/wikipedia/commons/8/89/02-09JUL2019_CNGB_USO_Tour_2019_190705-F-WH816-1016_%2848531457487%29_%28cropped%29.jpg,downloaded_photos/old_fighters/quinton-jackson.jpg
Forrest Griffin,2005-04-09,2012-07-07,Wikipedia,https://en.wikipedia.org/wiki/Forrest_Griffin,https://upload.wikimedia.org/wikipedia/commons/8/87/USMC-100809-M-6457M-001_CROPPED.jpg,downloaded_photos/old_fighters/forrest-griffin.jpg
Rashad Evans,2005-11-05,2018-06-09,Wikipedia,https://en.wikipedia.org/wiki/Rashad_Evans,https://upload.wikimedia.org/wikipedia/commons/0/0d/Rashad_Evans_joins_Fleet_Week_Miami_2024_%282%29_%28cropped%29.jpg,downloaded_photos/old_fighters/rashad-evans.jpg
Lyoto Machida,2007-02-03,2018-05-12,Wikipedia,https://en.wikipedia.org/wiki/Lyoto_Machida,https://upload.wikimedia.org/wikipedia/commons/7/7d/Lyoto_Machida_by_Marcos_Joel_Reis.jpg,downloaded_photos/old_fighters/lyoto-machida.jpg
Mauricio Rua,2007-09-22,2023-01-21,Wikipedia,https://en.wikipedia.org/wiki/Maur%C3%ADcio_Rua,https://upload.wikimedia.org/wikipedia/commons/e/e9/MauricioRua.png,downloaded_photos/old_fighters/mauricio-rua.jpg
Dan Henderson,1998-05-15,2016-10-08,Wikipedia,https://en.wikipedia.org/wiki/Dan_Henderson,https://upload.wikimedia.org/wikipedia/commons/8/8d/Dan_Henderson_2025_%28cropped%29.jpg,downloaded_photos/old_fighters/dan-henderson.jpg
Wanderlei Silva,1998-10-16,2013-03-02,Wikipedia,https://en.wikipedia.org/wiki/Wanderlei_Silva,https://upload.wikimedia.org/wikipedia/commons/2/2f/Wanderlei_Silva_-_Franz_no_MMA_%28cropped%29.jpg,downloaded_photos/old_fighters/wanderlei-silva.jpg
Vitor Belfort,1997-02-07,2018-05-12,Wikipedia,https://en.wikipedia.org/wiki/Vitor_Belfort,https://upload.wikimedia.org/wikipedia/commons/1/1f/Vitor_belfort_cropped.jpg,downloaded_photos/old_fighters/vitor-belfort.jpg
Anthony Johnson,2007-06-12,2017-04-08,Wikipedia,https://en.wikipedia.org/wiki/Anthony_Johnson_(fighter),https://upload.wikimedia.org/wikipedia/commons/3/3e/Anthony_johnson_MMA.jpg,downloaded_photos/old_fighters/anthony-johnson.jpg
Rich Franklin,2003-04-25,2012-11-10,Wikipedia,https://en.wikipedia.org/wiki/Rich_Franklin,https://upload.wikimedia.org/wikipedia/commons/6/63/RichFranklinphoto.png,downloaded_photos/old_fighters/rich-franklin.jpg
