first_name,last_name,nickname,height,weight,reach,stance,wins,losses,draws,belt,fighter_url
Taylor,Lapilus,Double Impact,"5' 6""",135 lbs.,"73.0""",Southpaw,21,4,0,,http://ufcstats.com/fighter-details/8b1ed83b02303075
Chad,Laprise,The Disciple,"5' 10""",170 lbs.,"71.0""",Orthodox,13,4,0,,http://ufcstats.com/fighter-details/c03a5022f8439f2a
Anthony,Lapsley,The Recipe,"5' 9""",170 lbs.,--,Southpaw,23,7,0,,http://ufcstats.com/fighter-details/f3a853544e4413c4
TJ,Laramie,,"5' 6""",145 lbs.,"66.0""",Orthodox,12,5,0,,http://ufcstats.com/fighter-details/cd2e5a390821fb48
Joseph,Larcinese,Big Sexy,--,125 lbs.,--,,5,0,0,,http://ufcstats.com/fighter-details/62a72adeb0227603
Icho,Larenas,,"6' 3""",235 lbs.,--,Orthodox,6,5,0,,http://ufcstats.com/fighter-details/49efbdc6c9f650c4
Lorenz,Larkin,The Monsoon,"5' 11""",170 lbs.,"72.0""",Orthodox,18,6,0,,http://ufcstats.com/fighter-details/9450848a71d53776
Jeremy,Larsen,,"5' 10""",145 lbs.,"70.0""",Orthodox,8,5,0,,http://ufcstats.com/fighter-details/c3bd649a9194e50c
Brock,Larson,,"5' 11""",170 lbs.,"71.0""",Southpaw,42,10,0,,http://ufcstats.com/fighter-details/5eedbf1e9601be35
Ryan,Larson,,--,170 lbs.,--,,6,2,0,,http://ufcstats.com/fighter-details/7107e53ebd7435fb
Bobby,Lashley,,"6' 3""",255 lbs.,"78.0""",Orthodox,15,2,0,,http://ufcstats.com/fighter-details/b0826525fa17231d
Ilir,Latifi,The Sledgehammer,"5' 10""",230 lbs.,"73.0""",Orthodox,17,9,0,,http://ufcstats.com/fighter-details/e9a3aeb207578eea
Sione,Latu,,"6' 0""",215 lbs.,--,,1,0,0,,http://ufcstats.com/fighter-details/5898357a45a73674
Phillip,Latu,The Doctor,"6' 3""",205 lbs.,"76.0""",Orthodox,6,2,0,,http://ufcstats.com/fighter-details/09224b76d27007ee
Jenel,Lausa,,"5' 5""",125 lbs.,"68.0""",Orthodox,7,5,0,,http://ufcstats.com/fighter-details/ec664422b22d9787
Joe,Lauzon,,"5' 10""",155 lbs.,"71.0""",Orthodox,28,16,0,,http://ufcstats.com/fighter-details/3bad7ef643840f67
Dan,Lauzon,The Upgrade,"5' 10""",155 lbs.,--,Orthodox,17,6,0,,http://ufcstats.com/fighter-details/4c8d6fde2dde07c4
Sandra,Lavado,Peruvian Zombie,"5' 7""",115 lbs.,"66.0""",Orthodox,10,3,0,,http://ufcstats.com/fighter-details/aa6da8cb3a26da04
Chatt,Lavender,,"5' 8""",170 lbs.,--,,9,7,0,,http://ufcstats.com/fighter-details/5449dcccd972ff83
Cody,Law,,--,145 lbs.,--,,9,2,0,,http://ufcstats.com/fighter-details/e3162dbdbfd78287
Muhammed,Lawal,King Mo,"6' 0""",205 lbs.,"78.0""",Southpaw,21,6,0,,http://ufcstats.com/fighter-details/a571770c4016736f
Robbie,Lawler,Ruthless,"5' 11""",170 lbs.,"74.0""",Southpaw,30,16,0,,http://ufcstats.com/fighter-details/f2925e6db404bf1d
Tom,Lawlor,Filthy,"6' 0""",205 lbs.,"74.0""",Southpaw,10,6,0,,http://ufcstats.com/fighter-details/4d44f37107f01b9b
Justin,Lawrence,The American Kidd,"5' 8""",145 lbs.,"67.0""",Orthodox,10,4,0,,http://ufcstats.com/fighter-details/879f6cae48d25baa
Lance,Lawrence,,"6' 1""",145 lbs.,"74.0""",Orthodox,4,1,0,,http://ufcstats.com/fighter-details/ce039df1994b18f0
Ronnie,Lawrence,The Heat,"5' 8""",135 lbs.,"68.0""",Switch,8,2,0,,http://ufcstats.com/fighter-details/e7e01e266a9d4342
Eric,Lawson,,"6' 0""",185 lbs.,--,Orthodox,9,5,0,,http://ufcstats.com/fighter-details/38e5d9dcb0fddc42
Jimmy,Lawson,Greedy,"6' 0""",265 lbs.,"77.0""",Orthodox,4,2,0,,http://ufcstats.com/fighter-details/e43eefb10d440cb0
Valmir,Lazaro,Bidu,"6' 0""",155 lbs.,"73.0""",Orthodox,15,5,0,,http://ufcstats.com/fighter-details/777dea713da2441d
Zviad,Lazishvili,,"5' 6""",135 lbs.,"69.0""",Orthodox,13,1,0,,http://ufcstats.com/fighter-details/41498c2d1a87b154
Mounir,Lazzez,The Sniper,"6' 1""",170 lbs.,"76.0""",Orthodox,11,3,0,,http://ufcstats.com/fighter-details/49ee5024966efc0d
Cung,Le,,"5' 9""",185 lbs.,"70.0""",Southpaw,9,3,0,,http://ufcstats.com/fighter-details/d4f364dd076bb0e2
Thanh,Le,,"5' 9""",145 lbs.,"74.0""",Orthodox,6,1,0,,http://ufcstats.com/fighter-details/882b3f5a0774d575
Quang,Le,Bang,"5' 7""",135 lbs.,"70.0""",Orthodox,9,3,0,,http://ufcstats.com/fighter-details/32feae6d9a1e5047
Carlos,Leal,The Lion,"5' 11""",170 lbs.,"74.0""",Orthodox,23,7,0,,http://ufcstats.com/fighter-details/28d421729451c8ca
Jordan,Leavitt,The Monkey King,"5' 9""",145 lbs.,"71.0""",Southpaw,13,3,0,,http://ufcstats.com/fighter-details/ac026518a9b4dc0f
Jerome,LeBanner,,"6' 3""",265 lbs.,--,Southpaw,3,2,0,,http://ufcstats.com/fighter-details/2d0b10789feafddb
Chris,Leben,The Crippler,"5' 11""",185 lbs.,"73.0""",Southpaw,22,11,0,,http://ufcstats.com/fighter-details/d43a048a880efdff
Julien,Leblanc,,"6' 2""",185 lbs.,"74""",Southpaw,10,3,0,,http://ufcstats.com/fighter-details/cd0dfd9846bd03b9
Jean-Paul,Lebosnoyani,Mufasa,"5' 11""",170 lbs.,"72.0""",Switch,10,2,0,,http://ufcstats.com/fighter-details/a3dda21be645be93
Mickael,Lebout,Ragnar,"5' 11""",155 lbs.,"73.0""",Orthodox,16,7,1,,http://ufcstats.com/fighter-details/c575ab451e3c5b1d
Stephen,Ledbetter,,"5' 9""",145 lbs.,--,Orthodox,8,3,0,,http://ufcstats.com/fighter-details/56ec58954158966a
Justin,Ledet,El Blanco,"6' 4""",205 lbs.,"80.0""",Orthodox,9,4,0,,http://ufcstats.com/fighter-details/ba1e6cb3d43f7430
James,Lee,,"5' 11""",205 lbs.,--,Southpaw,15,3,0,,http://ufcstats.com/fighter-details/863d06a7ef8bc98c
David,Lee,,"5' 10""",155 lbs.,--,Orthodox,12,10,0,,http://ufcstats.com/fighter-details/8caca5857ce0e30b
Jackie,Lee,,--,--,--,,0,1,0,,http://ufcstats.com/fighter-details/4985113c0928aa62
Eun Soo,Lee,,"6' 1""",215 lbs.,--,Orthodox,17,4,0,,http://ufcstats.com/fighter-details/39c568f8c579913e
Tae Hyun,Lee,,"6' 6""",295 lbs.,--,Orthodox,1,2,0,,http://ufcstats.com/fighter-details/de99da2c0d18d34a
Tommy,Lee,,"5' 7""",145 lbs.,--,Orthodox,25,6,0,,http://ufcstats.com/fighter-details/806975e1b4f47b27
Matt,Lee,,"5' 11""",155 lbs.,--,Orthodox,14,10,1,,http://ufcstats.com/fighter-details/d9e3743bae8d703d
Imani,Lee,,--,--,--,Orthodox,2,4,0,,http://ufcstats.com/fighter-details/0802be3516ef8f66
Vaughan,Lee,,"5' 6""",125 lbs.,"66.0""",Orthodox,14,13,1,,http://ufcstats.com/fighter-details/8bb6f4479685bbcc
